,Bull code/number,Age,AgeYear,DentalAge,AgeNumber,AgeCategory,Year,Model,Megapixels,Aperture,ShutterSpeed,ISO,FocalLength,Quality,WhiteBalance,Season,Month,Day,Date,Time,AgeClass,Head.Girth,Head.Height,Tusk.Side,Tusk.Length,Tusk.Circumference,Tusk.Shape,Tusk.Missing,Tusk.Breakage,Tusk.Arrangement,Body.Width,Shoulder.Height,Foot.Circumference,Musth.Period,Musth.Signs,Anatomy.not.visible,Anatomy.not.visible.binary,Blurred.Image,Visible.Injury,Body.Condition.Score,Ratio.bodyheight.to.bodywidth,Ratio.bodywith.to.bodyheight,Ratio.tusklength.bodywidth,Ratio.tusklength.bodyheight,Ratio.tuskcircumference.bodywidth,Ratio.tuskcircumference.bodyheight,Ratio.foot.to.bodywidth,Ratio.foot.to.bodyheight,Ratio.tusklength.to.foot,Ratio.tuskcircumference.to.foot,Ratio.tusk.circumference.to.tusk.length,Ratio.bodyheight.to.bodywidth2,Ratio.bodywith.to.bodyheight2,Ratio.tusklength.bodywidth2,Ratio.tusklength.bodyheight2,Ratio.tuskcircumference.bodywidth2,Ratio.tuskcircumference.bodyheight2,Ratio.foot.to.bodywidth2,Ratio.foot.to.bodyheight2,Ratio.tusklength.to.foot2,Ratio.tuskcircumference.to.foot2,Ratio.tusk.circumference.to.tusk.length2,Ratio.tusk.length.to.head.height,Ratio.tusk.circumference.to.head.height,Ratio.tusk.length.to.head.girth,Ratio.tusk.circumference.to.head.girth,Ratio.tusk.length.to.circumference
22,2,29,2007,25,3,adult,2007,Canon PowerShot S3 IS,5.9,4,0,100,58.7,SuperFine,Auto,wet,2,8,2/8/2007,12:41:10,Prime,NA,NA,right,117.57,19.77,upcurved,0,0,parallel,402.41,NA,NA,NA,NA,foot,0,0,0,4,NA,NA,0.292164708,NA,0.049128998,NA,NA,NA,NA,NA,0.168155142,NA,NA,0.239164708,NA,0.036128998,NA,NA,NA,NA,NA,0.144155142,NA,NA,NA,NA,5.946889226
23,2,29,2007,25,3,adult,2007,Canon PowerShot S3 IS,5.9,4,0,100,58.7,SuperFine,Auto,wet,2,8,2/8/2007,12:41:06,Prime,29.5,91.23,right,131.88,19.69,upcurved,NA,NA,NA,351.07,NA,NA,pre/post-musth,TGS,foot,0,0,0,4,NA,NA,0.375651579,NA,0.056085681,NA,NA,NA,NA,NA,0.149302396,NA,NA,0.322651579,NA,0.043085681,NA,NA,NA,NA,NA,0.125302396,NA,NA,4.470508475,0.667457627,6.69781615
24,3,35+,2004,45,4,prime adult,2008,C750UZ,3.9,4,0,50,46.3,Normal,Auto,wet,1,15,1/15/2008,12:34,Prime,62.44,280.41,right,396.68,61.85,upcurved,0,0,NA,1087.63,NA,NA,NA,NA,foot,0,0,0,4,NA,NA,0.36471962,NA,0.056866765,NA,NA,NA,NA,NA,0.155919129,NA,NA,0.31171962,NA,0.043866765,NA,NA,NA,NA,NA,0.131919129,1.414642844,0.22056988,6.35297886,0.990550929,6.413581245
25,3,35+,2006,43,4,prime adult,2006,NIKON D50,6,5.6,0,400,95,Normal,Auto,wet,12,5,12/5/2006,7:40:33,Prime,13.43,53.56,right,78.58,12.01,straight,0,0,higher right,231.31,291.44,48.8,non-musth,NA,NA,0,0,0,3,1.259954174,0.79367966,0.339717263,0.269626681,0.051921664,0.041209168,0.210972288,0.167444414,1.610245902,0.246106557,0.152837872,0.996954174,0.57267966,0.286717263,0.249626681,0.038921664,0.039209168,0.156972288,0.156444414,1.351245902,0.233106557,0.128837872,1.467139656,0.224234503,5.851079672,0.894266567,6.542880933
26,3,35+,2006,43,4,prime adult,2006,NIKON D50,6,6.3,0,720,185,Normal,Auto,wet,12,5,12/5/2006,8:10:45,Prime,42.94,66.23,right,87.04,14.86,straight,0,0,parallel,NA,346.13,60.64,non-musth,NA,anal flap,0,0,0,NA,NA,NA,NA,0.251466212,NA,0.042931846,NA,0.175194291,1.435356201,0.24505277,0.170726103,NA,NA,NA,0.231466212,NA,0.040931846,NA,0.164194291,1.176356201,0.23205277,0.146726103,1.314208063,0.224369621,2.027014439,0.346064276,5.857335128
27,3,35+,2004,41,4,prime adult,2004,C740UZ,3.1,4,0,64,34.7,Normal,Auto,wet,1,30,1/30/2004,6:31:11,Prime,81.55,146.08,left,216.48,32.81,upcurved,0,0,NA,623.18,NA,NA,non-musth,NA,foot,0,0,0,3,NA,NA,0.347379569,NA,0.052649315,NA,NA,NA,NA,NA,0.151561345,NA,NA,0.294379569,NA,0.039649315,NA,NA,NA,NA,NA,0.127561345,1.481927711,0.224602957,2.65456775,0.402329859,6.597988418
28,3,35+,2007,44,4,prime adult,2007,Canon PowerShot S3 IS,5.9,3.5,0,100,68,SuperFine,Auto,wet,2,27,2/27/2007,14:22:35,Prime,86.76,126.88,right,179.67,28.96,straight,0,0,parallel,570.68,NA,NA,non-musth,NA,foot,0,0,0,5,NA,NA,0.314834934,NA,0.050746478,NA,NA,NA,NA,NA,0.161184394,NA,NA,0.261834934,NA,0.037746478,NA,NA,NA,NA,NA,0.137184394,1.416062421,0.228247163,2.070885201,0.333794375,6.204074586
29,3,35+,2007,44,4,prime adult,2007,Canon PowerShot S3 IS,5.9,4,0,100,72,SuperFine,Auto,wet,2,27,2/27/2007,14:30:05,Prime,36.22,116.8,right,162.16,27.43,straight,0,1,parallel,504.74,NA,NA,non-musth,NA,foot,0,0,0,5,NA,NA,0.321274319,NA,0.054344811,NA,NA,NA,NA,NA,0.169153922,NA,NA,0.268274319,NA,0.041344811,NA,NA,NA,NA,NA,0.145153922,1.388356164,0.23484589,4.477084484,0.7573164,5.911775428
30,3,35+,2005,42,4,prime adult,2005,C740UZ,3.1,3.2,0,64,11.5,Normal,Auto,dry,7,27,7/27/2005,12:37:32,Prime,70.42,178.88,left,294.28,42.31,upcurved,0,0,parallel,812.17,977.68,NA,non-musth,NA,foot,0,0,0,4,1.203787384,0.83071148,0.362337934,0.300998282,0.052095005,0.043275919,NA,NA,NA,NA,0.143774636,0.940787384,0.60971148,0.309337934,0.280998282,0.039095005,0.041275919,NA,NA,NA,NA,0.119774636,1.645125224,0.236527281,4.178926441,0.60082363,6.955329709
31,3,35+,2006,43,4,prime adult,2006,NIKON D50,6,6.3,0,720,185,Normal,Auto,wet,12,5,12/5/2006,8:10:40,Prime,29.04,58.73,right,81.98,13.92,straight,0,0,parallel,NA,311.52,55.34,non-musth,NA,anal flap,0,0,0,NA,NA,NA,NA,0.263161274,NA,0.044684129,NA,0.177645095,1.481387785,0.25153596,0.169797512,NA,NA,NA,0.243161274,NA,0.042684129,NA,0.166645095,1.222387785,0.23853596,0.145797512,1.395879448,0.237016857,2.823002755,0.479338843,5.889367816
